Freq.,Vv1/IR1
1.75388050184174e+003,9.90243354794439e+001,1.79659577870644e+002
1.75792361395867e+003,9.90243649413031e+001,1.79658771755809e+002
1.76197604641161e+003,9.90243945412642e+001,1.79657963632185e+002
1.76603782068614e+003,9.90244242799843e+001,1.79657153494070e+002
1.77010895831740e+003,9.90244541581238e+001,1.79656341335740e+002
1.77418948089014e+003,9.90244841763463e+001,1.79655527151451e+002
1.77827941003890e+003,9.90245143353188e+001,1.79654710935436e+002
1.78237876744807e+003,9.90245446357113e+001,1.79653892681909e+002
1.78648757485203e+003,9.90245750781972e+001,1.79653072385062e+002
1.79060585403527e+003,9.90246056634535e+001,1.79652250039065e+002
1.79473362683250e+003,9.90246363921599e+001,1.79651425638067e+002
1.79887091512876e+003,9.90246672650001e+001,1.79650599176195e+002
1.80301774085954e+003,9.90246982826607e+001,1.79649770647555e+002
1.80717412601090e+003,9.90247294458317e+001,1.79648940046229e+002
1.81134009261958e+003,9.90247607552068e+001,1.79648107366280e+002
1.81551566277311e+003,9.90247922114829e+001,1.79647272601746e+002
1.81970085860996e+003,9.90248238153602e+001,1.79646435746644e+002
1.82389570231961e+003,9.90248555675426e+001,1.79645596794970e+002
1.82810021614272e+003,9.90248874687372e+001,1.79644755740696e+002
1.83231442237119e+003,9.90249195196548e+001,1.79643912577771e+002
1.83653834334832e+003,9.90249517210097e+001,1.79643067300123e+002
1.84077200146893e+003,9.90249840735194e+001,1.79642219901655e+002
1.84501541917945e+003,9.90250165779053e+001,1.79641370376248e+002
1.84926861897805e+003,9.90250492348922e+001,1.79640518717762e+002
1.85353162341478e+003,9.90250820452085e+001,1.79639664920031e+002
1.85780445509167e+003,9.90251150095860e+001,1.79638808976866e+002
1.86208713666284e+003,9.90251481287605e+001,1.79637950882057e+002
1.86637969083464e+003,9.90251814034710e+001,1.79637090629367e+002
1.87068214036577e+003,9.90252148344604e+001,1.79636228212538e+002
1.87499450806739e+003,9.90252484224751e+001,1.79635363625288e+002
1.87931681680324e+003,9.90252821682655e+001,1.79634496861309e+002
1.88364908948977e+003,9.90253160725854e+001,1.79633627914271e+002
1.88799134909627e+003,9.90253501361923e+001,1.79632756777820e+002
1.89234361864495e+003,9.90253843598475e+001,1.79631883445576e+002
1.89670592121112e+003,9.90254187443163e+001,1.79631007911135e+002
1.90107827992327e+003,9.90254532903675e+001,1.79630130168071e+002
1.90546071796322e+003,9.90254879987738e+001,1.79629250209929e+002
1.90985325856621e+003,9.90255228703116e+001,1.79628368030233e+002
1.91425592502106e+003,9.90255579057612e+001,1.79627483622480e+002
1.91866874067026e+003,9.90255931059070e+001,1.79626596980142e+002
1.92309172891013e+003,9.90256284715370e+001,1.79625708096667e+002
1.92752491319091e+003,9.90256640034431e+001,1.79624816965476e+002
1.93196831701689e+003,9.90256997024213e+001,1.79623923579967e+002
1.93642196394658e+003,9.90257355692713e+001,1.79623027933509e+002
1.94088587759275e+003,9.90257716047970e+001,1.79622130019449e+002
1.94536008162263e+003,9.90258078098061e+001,1.79621229831104e+002
1.94984459975802e+003,9.90258441851105e+001,1.79620327361768e+002
1.95433945577536e+003,9.90258807315260e+001,1.79619422604709e+002
1.95884467350596e+003,9.90259174498723e+001,1.79618515553167e+002
1.96336027683602e+003,9.90259543409734e+001,1.79617606200355e+002
1.96788628970681e+003,9.90259914056574e+001,1.79616694539462e+002
1.97242273611482e+003,9.90260286447563e+001,1.79615780563648e+002
1.97696964011183e+003,9.90260660591065e+001,1.79614864266048e+002
1.98152702580507e+003,9.90261036495482e+001,1.79613945639768e+002
1.98609491735734e+003,9.90261414169261e+001,1.79613024677888e+002
1.99067333898715e+003,9.90261793620889e+001,1.79612101373461e+002
1.99526231496885e+003,9.90262174858897e+001,1.79611175719510e+002
1.99986186963271e+003,9.90262557891857e+001,1.79610247709035e+002
2.00447202736513e+003,9.90262942728384e+001,1.79609317335004e+002
2.00909281260870e+003,9.90263329377136e+001,1.79608384590359e+002
2.01372424986236e+003,9.90263717846813e+001,1.79607449468013e+002
2.01836636368153e+003,9.90264108146161e+001,1.79606511960851e+002
2.02301917867824e+003,9.90264500283967e+001,1.79605572061731e+002
2.02768271952125e+003,9.90264894269062e+001,1.79604629763481e+002
2.03235701093619e+003,9.90265290110323e+001,1.79603685058900e+002
2.03704207770568e+003,9.90265687816670e+001,1.79602737940759e+002
2.04173794466950e+003,9.90266087397066e+001,1.79601788401800e+002
2.04644463672464e+003,9.90266488860521e+001,1.79600836434736e+002
2.05116217882553e+003,9.90266892216089e+001,1.79599882032249e+002
2.05589059598411e+003,9.90267297472870e+001,1.79598925186993e+002
2.06062991326997e+003,9.90267704640008e+001,1.79597965891592e+002
2.06538015581049e+003,9.90268113726695e+001,1.79597004138641e+002
2.07014134879101e+003,9.90268524742165e+001,1.79596039920703e+002
2.07491351745487e+003,9.90268937695702e+001,1.79595073230312e+002
2.07969668710366e+003,9.90269352596635e+001,1.79594104059972e+002
2.08449088309725e+003,9.90269769454339e+001,1.79593132402155e+002
2.08929613085400e+003,9.90270188278238e+001,1.79592158249305e+002
2.09411245585086e+003,9.90270609077801e+001,1.79591181593833e+002
2.09893988362349e+003,9.90271031862545e+001,1.79590202428119e+002
2.10377843976644e+003,9.90271456642035e+001,1.79589220744513e+002
2.10862814993325e+003,9.90271883425884e+001,1.79588236535331e+002
2.11348903983661e+003,9.90272312223753e+001,1.79587249792862e+002
2.11836113524846e+003,9.90272743045352e+001,1.79586260509358e+002
2.12324446200018e+003,9.90273175900438e+001,1.79585268677043e+002
2.12813904598267e+003,9.90273610798819e+001,1.79584274288108e+002
2.13304491314654e+003,9.90274047750352e+001,1.79583277334709e+002
2.13796208950219e+003,9.90274486764943e+001,1.79582277808974e+002
2.14289060112002e+003,9.90274927852546e+001,1.79581275702995e+002
2.14783047413050e+003,9.90275371023168e+001,1.79580271008833e+002
2.15278173472433e+003,9.90275816286865e+001,1.79579263718514e+002
2.15774440915263e+003,9.90276263653744e+001,1.79578253824033e+002
2.16271852372698e+003,9.90276713133962e+001,1.79577241317350e+002
